RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JC455326,,10/1/2019 7:55,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/1/2019 8:15,UNABLE TO DETERMINE,NOT APPLICABLE,2632,W,MADISON ST,1222,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.88121489,-87.69225258,POINT (-87.692252579459 41.881214890009)
JC455321,,10/1/2019 7:55,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR TO FRONT,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/1/2019 8:43,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,5498,W,DEVON AVE,1621,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.99745886,-87.76575419,POINT (-87.765754185813 41.99745885824)
JC455905,,10/1/2019 7:50,35,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/1/2019 16:13,FOLLOWING TOO CLOSELY,NOT APPLICABLE,3633,N,HARLEM AVE,1632,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.94625518,-87.80689281,POINT (-87.80689281432 41.946255182683)
JC455293,,10/1/2019 7:50,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",10/1/2019 7:57,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7258,S,ADA ST,734,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,3,10,41.76139017,-87.65740437,POINT (-87.657404365277 41.761390170802)
JC456767,,10/1/2019 7:45,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",10/2/2019 9:10,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3555,N,CICERO AVE,1731,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.94608754,-87.74691498,POINT (-87.746914979618 41.946087541368)
JC455299,,10/1/2019 7:36,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/1/2019 8:00,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,120,E,PERSHING RD,212,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.82387751,-87.62220303,POINT (-87.622203030022 41.823877505054)
JC455325,,10/1/2019 7:35,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,10/1/2019 8:50,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3977,E,105TH ST,432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,7,3,10,41.70442896,-87.52660395,POINT (-87.526603951086 41.704428958421)
JC455277,,10/1/2019 7:32,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/1/2019 7:35,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,400,W,BELMONT AVE,1925,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.94024119,-87.63963911,POINT (-87.639639114276 41.940241193256)
JC456094,,10/1/2019 7:30,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",10/1/2019 18:00,IMPROPER BACKING,IMPROPER BACKING,2425,N,SACRAMENTO AVE,1414,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,3,10,41.9256026,-87.70219509,POINT (-87.70219508909 41.925602596206)
JC455483,,10/1/2019 7:30,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",10/1/2019 11:00,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,958,S,WOOD ST,1231,,,Y,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,7,3,10,41.86924115,-87.67156672,POINT (-87.671566714964 41.869241145327)
JC455374,,10/1/2019 7:30,25,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/1/2019 9:30,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4254,N,NARRAGANSETT AVE,1632,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.95809871,-87.78690516,POINT (-87.786905157292 41.958098709857)
JC455344,Y,10/1/2019 7:30,30,NO CONTROLS,NO CONTROLS,UNKNOWN,DAWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,10/1/2019 8:31,NOT APPLICABLE,NOT APPLICABLE,110,W,HURON ST,1832,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,3,10,41.89493551,-87.63172085,POINT (-87.631720844632 41.894935507697)
JC455292,,10/1/2019 7:30,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/1/2019 7:45,FOLLOWING TOO CLOSELY,NOT APPLICABLE,6252,W,ADDISON ST,1633,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,3,10,41.94580953,-87.78346471,POINT (-87.783464711891 41.945809529946)
JC455276,Y,10/1/2019 7:30,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",10/1/2019 7:45,FOLLOWING TOO CLOSELY,DISTRACTION - FROM INSIDE VEHICLE,6300,S,WESTERN AVE,825,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.77912348,-87.6837831,POINT (-87.683783098636 41.77912348384)
JC455288,,10/1/2019 7:28,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/1/2019 7:32,UNABLE TO DETERMINE,UNABLE TO DETERMINE,123,W,83RD ST,622,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.74349141,-87.62789764,POINT (-87.627897640707 41.743491412099)
JC456130,,10/1/2019 7:05,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,ALLEY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/1/2019 18:23,NOT APPLICABLE,NOT APPLICABLE,3400,W,60TH PL,823,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.78355178,-87.70824912,POINT (-87.708249117415 41.783551782392)
JC455964,,10/1/2019 7:05,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/1/2019 16:50,FOLLOWING TOO CLOSELY,NOT APPLICABLE,5200,N,RUTHERFORD AVE,1613,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.97567425,-87.79529123,POINT (-87.795291233527 41.975674244824)
JC455259,,10/1/2019 7:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/1/2019 7:26,FOLLOWING TOO CLOSELY,NOT APPLICABLE,5515,W,MONTROSE AVE,1624,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,10,41.960394,-87.76543464,POINT (-87.765434639732 41.960394003528)
JC455281,,10/1/2019 6:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/1/2019 7:20,FAILING TO REDUCE SPEED TO AVOID CRASH,DISTRACTION - FROM INSIDE VEHICLE,1015,N,HOMAN AVE,1121,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,3,10,41.89957763,-87.71142418,POINT (-87.711424176226 41.899577631166)
JC455263,,10/1/2019 6:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",10/1/2019 7:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7010,S,JEFFERY BLVD,332,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,3,10,41.76762254,-87.5764849,POINT (-87.576484901714 41.767622534757)
JC455896,,10/1/2019 6:25,20,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",10/1/2019 16:10,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2751,W,PRATT BLVD,2412,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,3,10,42.00475007,-87.69942278,POINT (-87.69942277659 42.004750073091)
JC455999,,10/1/2019 6:15,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/1/2019 16:35,ROAD CONSTRUCTION/MAINTENANCE,UNABLE TO DETERMINE,4828,N,ELSTON AVE,1712,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,3,10,41.9685293,-87.7410685,POINT (-87.741068503495 41.968529301597)
JC455241,,10/1/2019 6:10,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,FIXED OBJECT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,Y,Y,"OVER $1,500",10/1/2019 6:10,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),FAILING TO REDUCE SPEED TO AVOID CRASH,3902,N,HAMILTON AVE,1921,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,6,3,10,41.95243042,-87.68249825,POINT (-87.682498252397 41.952430420274)
JC455237,,10/1/2019 6:05,30,TRAFFIC SIGNAL,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/1/2019 6:24,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,10320,S,KEDZIE AVE,2211,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,6,3,10,41.7055203,-87.70145804,POINT (-87.701458042202 41.705520296559)
JC456046,,10/1/2019 6:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",10/1/2019 17:10,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,11059,S,KEDZIE AVE,2211,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,3,10,41.69166218,-87.70068477,POINT (-87.700684770716 41.691662183497)
JC455240,,10/1/2019 6:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/1/2019 6:05,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,5312,N,MANILA AVE,1622,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,3,10,41.97863508,-87.77288819,POINT (-87.772888184904 41.978635084224)
JC455215,,10/1/2019 5:18,30,TRAFFIC SIGNAL,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,10/1/2019 5:20,DISTRACTION - FROM INSIDE VEHICLE,DISTRACTION - FROM OUTSIDE VEHICLE,1170,W,47TH ST,925,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,5,3,10,41.80884589,-87.65512248,POINT (-87.655122479632 41.808845892428)
JC455204,,10/1/2019 4:13,30,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",10/1/2019 4:17,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),UNABLE TO DETERMINE,2,S,CICERO AVE,1533,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,4,3,10,41.88044506,-87.74542253,POINT (-87.745422526067 41.880445063162)
JC455347,Y,10/1/2019 4:00,30,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",10/1/2019 8:51,UNABLE TO DETERMINE,NOT APPLICABLE,1540,N,HOMAN AVE,1422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,3,10,41.90947261,-87.71204019,POINT (-87.712040194462 41.909472606836)
JC456399,,10/1/2019 2:45,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,OTHER,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/1/2019 21:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5704,W,64TH PL,812,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,3,10,41.77538906,-87.76433858,POINT (-87.764338583615 41.775389062567)
JC455198,,10/1/2019 2:40,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",10/1/2019 3:30,NOT APPLICABLE,NOT APPLICABLE,2602,W,DEVON AVE,2412,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,2,3,10,41.99775308,-87.69491431,POINT (-87.694914310549 41.997753083688)
JC455631,Y,10/1/2019 2:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,10/1/2019 12:10,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3048,W,36TH ST,911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,3,10,41.82824406,-87.70160998,POINT (-87.701609976736 41.828244062826)
JC455158,,10/1/2019 1:38,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",10/1/2019 1:39,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1325,W,88TH ST,2222,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,3,10,41.73394801,-87.65687021,POINT (-87.656870213786 41.733948011854)
JC455157,,10/1/2019 0:45,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",10/1/2019 1:09,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,7600,S,LOOMIS BLVD,612,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,0,3,10,41.75579046,-87.65887512,POINT (-87.65887512225 41.755790457308)
JC455174,,10/1/2019 0:30,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",10/1/2019 1:10,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,2201,S,DAMEN AVE,1034,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,3,10,41.85213354,-87.67569192,POINT (-87.675691923757 41.852133541435)
JC455141,,10/1/2019 0:16,30,NO CONTROLS,NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",10/1/2019 0:19,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6227,S,MONITOR AVE,812,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,3,10,41.77894088,-87.76772249,POINT (-87.767722488511 41.778940880662)
JC455682,,10/1/2019 0:01,25,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",10/1/2019 13:35,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6442,N,OAKLEY AVE,2412,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,3,10,41.99904274,-87.68762776,POINT (-87.687627762252 41.999042741538)
JC456075,,9/30/2019 23:30,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/1/2019 17:25,UNABLE TO DETERMINE,NOT APPLICABLE,130,N,KARLOV AVE,1114,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,23,2,9,41.88312605,-87.72833909,POINT (-87.72833909146 41.883126052389)
JC455489,Y,9/30/2019 23:30,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",10/1/2019 11:13,IMPROPER BACKING,NOT APPLICABLE,8030,S,ESCANABA AVE,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,23,2,9,41.7491395,-87.5542078,POINT (-87.554207796944 41.749139495879)
JC455072,,9/30/2019 23:10,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,9/30/2019 23:12,UNABLE TO DETERMINE,NOT APPLICABLE,2053,W,DIVISION ST,1212,,,Y,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,23,2,9,41.90304274,-87.67934669,POINT (-87.679346686238 41.903042737182)
JC455078,,9/30/2019 22:55,30,UNKNOWN,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/30/2019 22:55,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),1359,N,LARAMIE AVE,2533,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,22,2,9,41.90578623,-87.75571058,POINT (-87.755710581983 41.905786233963)
JC455050,,9/30/2019 22:40,45,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,"CURVE, LEVEL",DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",9/30/2019 22:43,NOT APPLICABLE,NOT APPLICABLE,3101,S,LAKE SHORE DR NB,211,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,1,1,1,0,22,2,9,41.83847699,-87.60815245,POINT (-87.608152449557 41.838476987678)
JC455055,,9/30/2019 22:36,25,STOP SIGN/FLASHER,UNKNOWN,CLEAR,DARKNESS,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",9/30/2019 22:36,DISREGARDING STOP SIGN,NOT APPLICABLE,4200,S,LAKE PARK AVE,214,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,2,9,41.81795567,-87.599766,POINT (-87.59976599985 41.817955665214)
JC455042,,9/30/2019 22:25,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/30/2019 22:25,IMPROPER LANE USAGE,FAILING TO REDUCE SPEED TO AVOID CRASH,6711,N,SHERIDAN RD,2432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,2,9,42.00389026,-87.66068096,POINT (-87.660680956312 42.003890262415)
JC455043,,9/30/2019 22:15,35,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/30/2019 22:24,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5353,W,HURON ST,1524,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,22,2,9,41.89285527,-87.76003108,POINT (-87.760031079414 41.892855273222)
JC455133,,9/30/2019 22:05,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,9/30/2019 22:06,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),NOT APPLICABLE,4799,N,WINTHROP AVE,1914,,N,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,22,2,9,41.96896166,-87.65747911,POINT (-87.657479108032 41.968961655209)
